epoch,train_loss,lr,val_loss,val_roc_auc,val_pr_auc,val_f1,val_recall,val_specificity,val_accuracy,seconds
1,0.973985530436039,0.001,1.5847128544534956,0.4794393654594674,0.04898304201047906,0.04151676036568225,0.29795918367346935,0.7128923554457843,0.7042788129744652,32.1
2,0.9232773159941038,0.001,1.1085498758724757,0.4980418086369511,0.06087043895867439,0.04989255551411774,0.2541204200978637,0.7494286272202059,0.7491373360938578,28.6
3,0.9009664629896482,0.001,1.0637284857886178,0.5169220712627932,0.06372327301257481,0.05614557935818313,0.3135338345864662,0.7404762835039848,0.7360248447204969,28.4
4,0.9117023547490438,0.001,1.1326057400022234,0.49636263198112157,0.061314028609397185,0.0543886369965784,0.4107142857142857,0.5946817125741303,0.6086956521739131,28.4
5,0.9085470736026764,0.001,0.9706898076193673,0.5787668942041092,0.08834074087594031,0.05578606076625754,0.28573069578708676,0.7354907000637335,0.730848861283644,28.0
6,0.8842589582006136,0.001,1.7006674323763167,0.5173247073073433,0.056325535441191364,0.04625765639008975,0.2857142857142857,0.7132563231886877,0.7204968944099379,27.9
7,0.8869194040695826,0.001,1.0722583958080836,0.5262273300236714,0.06600202429370151,0.05468438290822464,0.2323546962644707,0.804073587687571,0.7939958592132506,18.3
8,0.8952666918436686,0.001,0.9759847777230399,0.5333554952996414,0.06553005200693475,0.061623758690002986,0.2630087122568326,0.7673414428543166,0.7577639751552796,16.9
9,0.8725569198528925,0.0005,0.9570863842964172,0.5326552535701148,0.07680754033886592,0.060573470897935695,0.23771034729681345,0.807538252306392,0.7905452035886819,27.8
10,0.8749018162488937,0.0005,0.965955240385873,0.5546310959416831,0.07818076156365751,0.06344488714079674,0.29897064088793407,0.7889914072509975,0.7770876466528641,28.9
