epoch,train_loss,lr,val_loss,val_roc_auc,val_pr_auc,val_f1,val_recall,val_specificity,val_accuracy,seconds
1,0.941186341146628,0.001,0.9244496822357178,0.6539987615834796,0.11605496934851958,0.0727392838466386,0.2232755652868435,0.8387558688362738,0.8205659075224291,15.8
2,0.8311403493086497,0.001,0.8709925413131714,0.7023407086685189,0.13053240787257256,0.10012892697367719,0.2801991241840866,0.8326710680074964,0.820910973084886,15.1
3,0.7719392329454422,0.001,0.8684765355927604,0.710244212085313,0.13525039673831044,0.10504858059037625,0.2654346488932955,0.84711057099003,0.8333333333333334,15.0
4,0.7191376127302647,0.001,0.8899652234145573,0.7226368924098517,0.14029363982568097,0.10792868934745622,0.25994014339879007,0.8599897391327298,0.8467908902691511,15.3
5,0.6699303537607193,0.001,0.8874508440494537,0.7202443333589162,0.12967435887240036,0.09988216431244916,0.20072066613419998,0.8956423144568066,0.8764665286404417,14.8
