epoch,train_loss,lr,val_loss,val_roc_auc,val_pr_auc,val_f1,val_recall,val_specificity,val_accuracy,seconds
1,0.8780023381114006,0.0001,0.9170411654881069,0.558729716054842,0.09965449742869008,0.06986985133960717,0.19776673827425703,0.8558203693005026,0.8395445134575569,16.2
2,0.8298909092942873,0.0001,0.8983589581080845,0.6105345753637351,0.10224458221195368,0.06908679211262345,0.19065222580260177,0.8692911931357848,0.8502415458937198,17.2
3,0.7999476119875908,0.0001,0.8843504190444946,0.6387895350598954,0.1057295169209138,0.07515989898201847,0.19078212931596392,0.8724074758473721,0.8540372670807452,15.0
4,0.7762870515386263,0.0001,0.8668376633099147,0.6821789788738846,0.11665177381049807,0.07804804400670799,0.19850978178045847,0.8714540036668188,0.8536922015182886,15.0
5,0.7451826979716619,0.0001,0.8576758674212864,0.7017606501214445,0.11786836052990587,0.10148429747773394,0.21182741652666465,0.8758145485181664,0.857832988267771,25.0
6,0.7216403981049856,0.0001,0.8551409414836338,0.7131538370409946,0.1234685928505543,0.108380596268756,0.21732192202117015,0.8833357246051642,0.865079365079365,25.5
7,0.6827478433648745,0.0001,0.8484860360622406,0.7205022817359527,0.11776227001465049,0.09123254414419606,0.21070281013890035,0.8826266888790467,0.8643892339544513,19.2
8,0.6662118931611379,0.0001,0.8498173824378422,0.722064166270394,0.1157828962228562,0.0922444110449038,0.21661640364647886,0.8777055403467122,0.8609385783298827,15.0
9,0.6360421863694986,0.0001,0.8629575967788696,0.7201094687702148,0.11597137518333782,0.08972750967918496,0.20437150568729517,0.8862019746316057,0.8668046928916494,14.7
10,0.6178469198445479,0.0001,0.8700890626226153,0.7206635266689407,0.11595961574959181,0.08932242079578676,0.20437150568729517,0.8859085739211031,0.8664596273291927,24.8
