epoch,train_loss,lr,val_loss,val_roc_auc,val_pr_auc,val_f1,val_recall,val_specificity,val_accuracy,seconds
1,0.6800777986645699,2e-05,0.8595175657953534,0.7229421087387389,0.13580458998004283,0.1059781868846676,0.2359997980298732,0.8786580149768379,0.8602484472049691,15.6
2,0.6309449424346288,2e-05,0.8625820236546653,0.7257144856803476,0.13581826053520557,0.11477228608565013,0.23788362848513223,0.8698893868771028,0.8543823326432023,15.6
3,0.6121063369015852,2e-05,0.8777338010924203,0.7273863965914814,0.13632674453263013,0.1394048688193963,0.24318844271851794,0.8896020355349481,0.8712905452035888,14.9
4,0.5895754508674145,2e-05,0.8632623170103345,0.7309522045558979,0.13679237316429146,0.14455882762764816,0.28208823340402284,0.8774301702783134,0.8633540372670809,15.1
5,0.555203028023243,2e-05,0.8762388357094356,0.7293736028195211,0.13661485075106933,0.1251120835243188,0.23313698623849,0.8921726127081185,0.8730158730158729,15.1
6,0.5309493529299895,2e-05,0.8934483357838222,0.7320558846469092,0.13707604498435672,0.13738189071574844,0.2716573944017553,0.8789267288538528,0.8616287094547965,15.0
7,0.4935394401351611,2e-05,0.8878251399312701,0.7348775900797717,0.13682396677257433,0.13838188966540507,0.27789322206615436,0.8805558926705128,0.8657694962042788,15.4
8,0.46784916271766025,2e-05,0.8927533371107919,0.7320698373358734,0.13568957183759525,0.12974731169903975,0.27077870959449907,0.8718746664112655,0.8564527260179434,16.5
9,0.4377792763213317,2e-05,0.9296807135854449,0.7307514988320001,0.13740643558580337,0.12556918836450146,0.24614719032012264,0.8864159409946082,0.8709454796411319,15.4
10,0.4150477511187394,2e-05,0.9533278942108154,0.7324881788718868,0.13440116416084488,0.1191787356748557,0.21781296189190927,0.8954278679722982,0.8799171842650103,15.6
